name,price,prod_url
Torres Gran Coronas Reserva Cabernet Sauvignon,21.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/red-wine-14001/torres-gran-coronas-reserva-cabernet-sauvignon-36483
Cristal Brut Vintage Champagne,334.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/cristal-brut-vintage-champagne-268755
Louis Roederer Brut Premier Champagne,76.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/louis-roederer-brut-premier-champagne-268771
Dom Pérignon Brut Vintage Champagne,259.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/dom-p%C3%A9rignon-brut-vintage-champagne-280461
Domaine Jeeper Brut Grand Assemblage,63.2,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/domaine-jeeper-brut-grand-assemblage-283480
Mumm Cordon Rouge Brut Champagne,63.0,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/mumm-cordon-rouge-brut-champagne-308056
Tarlant Brut Reserve Champagne,45.05,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/tarlant-brut-reserve-champagne-325167
Taittinger Brut Réserve Champagne,61.05,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/taittinger-brut-r%C3%A9serve-champagne-365312
Moet & Chandon Imperial Champagne,145.9,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/moet-chandon-imperial-champagne-369678
Bollinger Special Cuvée Brut Champagne,84.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/bollinger-special-cuv%C3%A9e-brut-champagne-384529
Veuve Clicquot Brut Champagne,42.6,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/veuve-clicquot-brut-champagne-389056
Veuve Clicquot Rich Champagne,89.3,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/veuve-clicquot-rich-champagne-424341
Champagne Fleury Rose De Saignee,50.1,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/champagne-14004/champagne-fleury-rose-de-saignee-428960
Jacob's Creek Moscato Rosé,13.5,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/jacobs-creek-moscato-ros%C3%A9-367276
Cotton Candy Rosé,9.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/cotton-candy-ros%C3%A9-369652
Sator Rosato 2015,18.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/sator-rosato-2015-373125
Masi Rosa dei Masi 2018,15.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/masi-rosa-dei-masi-2018-377267
Sawmill Creek Autumn Blush,16.95,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/sawmill-creek-autumn-blush-383356
Martin Berdugo Rosado 2016,17.45,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/martin-berdugo-rosado-2016-388909
Karamolegos Terranera PGI Dry Rose 2016,24.0,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/karamolegos-terranera-pgi-dry-rose-2016-401579
Galan Private Reserve Rose 2015,11.05,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/ros%C3%A9-wine-14003/galan-private-reserve-rose-2015-403385
